rank,name,speed,spin,control,tackiness,weight,hardness,gears,throw_angle,consistency,durable,overall,ratings,price
1,Nittaku Hammond Z2,9.3,9.3,9.2,2.2,3.6,6.9,8.6,6.9,9.5,8.4,9.5,74,59.0
2,Donic BlueStar A1,9.5,9.5,8.9,2.5,6.8,9.7,9.3,6.1,9.4,8.2,9.5,20,65.0
3,Donic Bluestorm Pro AM,9.1,9.5,9.2,1.5,5.3,6.9,9.4,5.6,9.2,7.9,9.5,14,60.0
4,Victas V>22 Double Extra,9.2,9.5,9.5,2.9,5.4,6.9,8.0,5.6,9.3,6.4,9.5,34,42.0
5,Tibhar Hybrid K1 European Version,9.1,9.5,9.2,5.5,5.2,7.9,9.0,6.0,9.6,8.4,9.5,18,37.0
6,Andro Rasanter R45,9.0,9.3,9.2,0.7,4.8,4.5,6.6,5.6,8.6,7.1,9.5,22,50.0
7,Donic Bluefire M1 Turbo,9.5,9.4,8.5,2.6,6.3,7.8,9.1,6.3,9.4,7.4,9.5,32,50.0
8,Andro Rasanter C48,8.8,9.4,9.3,4.0,5.0,6.4,8.4,6.3,9.6,6.5,9.5,16,67.0
9,Tibhar Hybrid MK,8.9,9.2,9.4,2.0,3.8,6.4,8.8,6.0,10.0,6.0,9.5,23,49.0
10,Donic Acuda Blue P2,9.0,9.4,9.1,2.8,4.0,4.4,8.2,4.5,9.1,7.3,9.5,57,54.0
11,Yasaka Rakza 9,9.4,9.3,8.9,2.3,4.6,6.3,8.9,4.3,9.3,8.7,9.4,77,53.0
12,DHS Hurricane 3 National (Blue Sponge),9.3,9.6,9.1,8.5,6.2,8.0,9.3,5.7,9.2,8.3,9.4,55,92.0
13,Victas V > 20 Double Extra,9.1,9.5,8.9,1.7,6.0,7.6,9.1,6.4,10.0,6.5,9.4,12,55.0
14,Yasaka Rakza Z Extra Hard,9.1,9.4,9.0,6.8,7.9,9.6,8.6,5.6,9.8,8.2,9.4,27,50.0
15,Yasaka Rakza Z,8.7,9.5,9.2,6.5,6.7,7.7,8.6,6.4,9.4,8.3,9.4,65,43.0
16,Tibhar 1Q XD,9.4,9.1,8.3,3.5,6.0,7.4,8.6,6.0,9.4,8.2,9.4,22,55.0
17,JOOLA Rhyzm-P,9.2,9.4,9.3,2.3,4.4,5.9,8.8,5.5,9.6,8.6,9.4,48,42.0
18,Tibhar Evolution MX-S,9.2,9.5,9.1,2.4,6.6,7.6,9.0,5.1,9.2,7.5,9.4,106,40.0
19,Gewo NanoFlex FT48,9.4,9.4,9.1,1.0,4.9,6.7,8.8,5.3,9.2,8.1,9.4,26,34.0
20,Xiom Omega V Asia,9.4,9.5,9.1,2.1,5.8,7.7,9.1,6.1,9.7,8.7,9.4,45,40.0
21,Andro Hexer Powergrip,9.2,9.3,9.2,1.1,5.3,6.9,8.9,5.8,9.8,8.3,9.4,44,51.0
22,JOOLA Dynaryz AGR,9.3,9.4,9.0,1.6,5.1,6.9,7.4,5.5,8.9,7.3,9.4,26,64.95
23,Andro Rasant,9.2,9.3,9.0,2.1,5.2,5.5,8.9,5.6,9.5,8.4,9.4,147,57.0
24,Gewo Flexxon,9.2,9.4,9.2,2.5,4.8,6.8,8.2,4.3,9.4,8.2,9.4,25,58.0
25,Adidas P7,8.8,9.5,9.1,2.1,4.4,6.5,9.0,6.1,9.5,8.4,9.4,82,50.0
26,Andro Rasanter R50,9.4,9.4,8.7,1.6,6.4,8.4,9.1,5.8,9.3,8.3,9.4,41,73.0
27,Yasaka Valmo,9.2,9.2,8.9,1.8,4.7,6.2,8.7,4.5,9.2,9.1,9.4,27,46.0
28,Butterfly Tenergy 25 FX,9.1,9.2,8.9,2.7,4.4,4.1,9.0,4.8,9.6,8.4,9.4,37,62.0
29,Victas VJ > 07 Stiff,9.0,9.3,9.3,0.4,4.2,5.0,8.5,4.4,9.4,8.8,9.4,10,45.0
30,Xiom Omega IV Asia,9.2,9.0,8.8,2.3,4.5,7.2,8.8,5.4,9.6,7.9,9.4,48,49.0
31,Tibhar Nianmor,9.3,9.2,8.1,2.8,5.0,7.3,9.0,5.2,8.6,8.3,9.4,47,80.0
32,TSP Super Ventus,9.2,9.5,9.4,1.4,5.8,6.8,9.4,5.2,9.5,9.0,9.4,58,34.0
33,JOOLA MAXXX-P,9.1,9.3,9.4,2.1,4.2,5.0,8.3,4.8,8.9,8.7,9.4,29,46.0
34,Andro Rasant Grip,9.1,9.4,9.1,2.4,5.6,5.5,8.7,4.9,9.5,8.3,9.4,124,53.0
35,Tibhar Genius Sound,8.7,9.5,8.9,2.7,3.4,2.7,7.5,6.1,9.4,7.4,9.4,59,46.0
36,DHS NEO Hurricane 3 National (Blue Sponge),9.1,9.4,9.2,7.7,6.6,7.8,9.2,6.1,8.9,7.4,9.4,36,100.0
37,Andro Rasant PowerGrip,9.4,9.3,9.0,2.1,6.6,7.9,8.9,5.6,9.6,8.0,9.4,64,35.0
38,Victas V > 01 Limber,8.7,9.4,9.4,1.4,3.5,3.6,8.5,4.9,9.6,8.1,9.4,48,32.0
39,TSP Ventus Spin,8.8,9.4,9.3,1.4,2.8,3.2,8.3,6.2,9.7,8.2,9.4,53,48.0
40,Butterfly Tenergy 80,9.3,9.4,9.0,2.1,5.5,5.4,9.0,5.9,9.2,7.7,9.4,119,65.0
41,Victas Ventus Extra,9.2,9.4,9.4,1.0,5.8,6.8,9.3,4.8,9.5,9.4,9.4,39,36.0
42,Xiom Sigma 1 Euro,9.3,9.3,9.1,1.9,5.4,5.5,9.0,4.9,9.8,8.7,9.4,56,85.0
43,Tibhar 5Q,8.8,9.3,8.7,2.7,4.4,5.4,7.8,6.0,9.7,8.4,9.4,27,41.0
44,Gewo Neoflexx EFT 48,7.9,9.4,9.3,2.0,6.0,6.8,7.0,4.7,8.8,8.1,9.4,18,32.0
45,Yasaka Rigan Spin,8.7,9.3,9.4,1.8,4.2,4.8,8.9,4.2,9.4,9.3,9.4,12,35.0
46,TSP Ventus Soft,8.8,9.4,9.3,1.6,2.0,1.3,8.3,6.3,9.1,7.8,9.4,28,42.0
47,Yasaka Rakza 7,8.9,9.2,8.9,2.7,5.0,6.1,8.6,5.5,9.5,8.1,9.4,241,52.0
48,DHS Gold Arc 8,9.4,9.3,9.1,2.0,5.9,6.7,8.8,5.7,9.3,8.3,9.4,139,67.0
49,DHS Skyline 2 Provincial Blue Sponge,8.3,9.5,9.4,8.6,6.7,9.6,9.1,3.4,9.2,8.4,9.4,15,40.0
50,Andro Rasanter R53,9.5,9.4,8.9,1.4,7.6,9.1,9.4,6.2,9.2,9.2,9.4,38,57.0
51,Donic J.O. Waldner,8.2,8.8,8.8,3.1,4.2,5.2,9.3,3.2,9.0,8.0,9.4,11,37.0
52,Butterfly Dignics 80,9.4,9.2,9.0,1.7,5.7,6.7,8.1,5.4,10.0,8.6,9.4,28,72.0
53,Donic BlueGrip C2,9.2,9.4,9.1,5.6,6.5,9.2,9.0,7.3,9.7,7.6,9.4,38,55.0
54,Tibhar 5Q Update,9.1,9.1,9.0,2.4,4.8,5.1,9.1,5.8,10.0,8.5,9.4,10,58.0
55,Tibhar Grip-S,8.6,9.2,8.6,6.8,6.5,6.6,8.6,6.2,8.8,7.3,9.4,27,45.0
56,Xiom Sigma II Euro,9.2,9.4,9.1,1.9,5.4,4.9,9.1,5.7,9.8,7.7,9.4,37,45.0
57,Andro Rasant Turbo,9.5,9.1,8.4,1.5,5.9,7.0,8.9,5.1,9.4,9.1,9.4,39,43.0
58,Tibhar Rapid X-Press,9.2,9.2,8.3,3.8,3.8,5.3,8.9,4.0,5.5,6.4,9.4,15,44.0
59,Haifu White Shark II (2) (Tuned),8.7,8.1,8.5,2.2,3.7,2.8,6.8,3.5,7.5,5.5,9.4,13,26.0
